 symbol,date,price
Prediction,Sep 05,30.72155188
Prediction,Oct 05,31.83524527
Prediction,Nov 05,39.08013292
Prediction,Dec 05,43.50445899
Prediction,Jan 06,50.75168442
Prediction,Feb 06,47.71559672
Prediction,Mar 06,46.20377801
Prediction,Apr 06,40.4768299
Prediction,May 06,39.97440348
Prediction,Jun 06,39.28275485
Prediction,Jul 06,32.83329305
Prediction,Aug 06,29.86860203
Prediction,Sep 06,31.36568649
Prediction,Oct 06,32.00343043
Prediction,Nov 06,39.02394721
Prediction,Dec 06,43.68676119
Prediction,Jan 07,49.86108247
Prediction,Feb 07,47.99319734
Prediction,Mar 07,46.12011539
Prediction,Apr 07,43.87239424
Prediction,May 07,40.22747528
Prediction,Jun 07,41.28878757
Prediction,Jul 07,30.96299907
Prediction,Aug 07,29.98204071
Prediction,Sep 07,30.96660973
Prediction,Oct 07,30.08904236
Prediction,Nov 07,40.79226589
Prediction,Dec 07,44.13110849
Prediction,Jan 08,54.52119915
Prediction,Feb 08,47.02967703
Prediction,Mar 08,41.19674134
Prediction,Apr 08,37.89090997
Prediction,May 08,37.20888384
Prediction,Jun 08,40.53829735
Prediction,Jul 08,33.07653385
Prediction,Aug 08,30.88893355
Prediction,Sep 08,30.75866421
Prediction,Oct 08,31.40128037
Prediction,Nov 08,38.27783434
Prediction,Dec 08,44.88115717
Prediction,Jan 09,48.62071442
Prediction,Feb 09,45.33148445
Prediction,Mar 09,41.88708954
Prediction,Apr 09,42.93502209
Prediction,May 09,39.18132513
Prediction,Jun 09,39.12246988
Prediction,Jul 09,32.81030632
Prediction,Aug 09,31.16404551
Prediction,Sep 09,30.05800879
Prediction,Oct 09,32.49782086
Prediction,Nov 09,38.82578106
Prediction,Dec 09,42.57540681
Prediction,Jan 10,49.38573236
Prediction,Feb 10,45.06546673
Prediction,Mar 10,46.20982252
Prediction,Apr 10,44.78465853
Prediction,May 10,37.1728197
Prediction,Jun 10,37.65543142
Prediction,Jul 10,32.77687973
Prediction,Aug 10,29.75543381
Prediction,Sep 10,30.52996161
Prediction,Oct 10,32.92917929
Prediction,Nov 10,37.38530771
Prediction,Dec 10,41.31745744
Prediction,Jan 11,50.05935502
Prediction,Feb 11,45.58445666
Prediction,Mar 11,40.24585819
Prediction,Apr 11,33.88690167
Prediction,May 11,39.73156464
Prediction,Jun 11,40.1227494
Prediction,Jul 11,34.2835044
Prediction,Aug 11,30.03823228
Prediction,Sep 11,30.52337067
Prediction,Oct 11,32.50622681
Prediction,Nov 11,40.57070924
Prediction,Dec 11,48.04972554
Prediction,Jan 12,45.34109737
Prediction,Feb 12,44.42283865
Prediction,Mar 12,41.58037629
Prediction,Apr 12,37.70979068
Prediction,May 12,37.06974911
Prediction,Jun 12,38.29680116
Prediction,Jul 12,32.45940948
Prediction,Aug 12,29.83947895
Prediction,Sep 12,29.84283025
Prediction,Oct 12,32.29830468
Prediction,Nov 12,39.9452778
Prediction,Dec 12,42.20937006
Prediction,Jan 13,47.09408988
Prediction,Feb 13,45.03643745
Prediction,Mar 13,39.07981277
Prediction,Apr 13,37.77587175
Prediction,May 13,38.8190143
Prediction,Jun 13,39.32146235
Prediction,Jul 13,32.77258716
Prediction,Aug 13,30.10853949
Prediction,Sep 13,31.15047521
Prediction,Oct 13,35.28269971
Prediction,Nov 13,37.13212606
Prediction,Dec 13,41.63244854
Real,Sep 05,28.10960388
Real,Oct 05,30.7459782
Real,Nov 05,41.08945993
Real,Dec 05,41.99675378
Real,Jan 06,49.2617286
Real,Feb 06,47.37619566
