767,85377	
769,853328	86106	327571	119161	28124	306734	584241	811935	1032353	381978	608556	601021	775477	778617	39407	361603	300974	551465	1061408	28033	276926	900568	1054653	683925	134528	174594	478877	1039146	1069766	900935	344549	7620	497411	512686	195570	814990	272504	624249	
861,1030664	149330	
1006,655183	
1192,140348	
2003,213361	599565	
2011,512852	28551	331150	597000	657551	212272	809372	1051407	212273	551678	
2241,517212	453970	431409	634911	996870	
2652,462473	596092	214609	1028472	775479	733218	187806	1093039	272568	848187	476989	243596	327070	599948	611077	150140	264110	768429	13470	780080	108437	1050796	247857	198083	860500	179975	262485	1088282	878029	862781	2121	262764	219637	178370	1007701	515420	152707	263727	311769	860501	576079	567681	595627	327678	862530	582347	148571	1010124	999242	874378	284009	
2848,803383	109581	411288	259953	45602	878082	55049	1080737	
3699,152025	1097744	
3763,850036	
4368,1078744	779460	303944	881717	317343	547357	896554	202246	1061158	131297	
4647,731241	
4724,511076	512043	154401	386708	334248	780100	303944	307388	261369	1073733	1091073	761456	1115815	1101630	502027	694694	152528	
7587,741471	41011	316140	544461	
8189,473162	406104	580445	758462	563172	472338	262678	785215	861876	278925	266927	562659	11744	79368	
9280,64619	568044	1075531	346017	692598	1093379	481	1059690	57825	261499	885770	1078782	600575	880895	510	600570	864720	975380	300479	300543	458	300494	820333	920628	312761	900327	1014185	928096	600524	432192	450	1032341	573513	327246	524144	900339	454	377596	600484	667899	221989	583946	506217	534768	62247	16395	501	571600	600506	220647	198970	274706	774273	794197	347139	
9436,630490	803153	
10718,1030619	253318	
10724,876140	
11447,653709	79195	444492	821176	632037	864529	
12941,1051950	245130	
13742,1105329	466994	
14548,174695	683157	379031	1081513	931713	911624	491903	625180	959551	774648	607183	
15169,79040	430627	1003155	340745	928684	
15847,743021	780222	930054	381691	490006	682450	212938	
16844,174264	1025603	
18206,38397	773818	240705	35415	779265	471794	95870	312978	1045099	1113493	1046964	197712	1029622	550508	388378	969029	818938	916992	59103	1087979	363574	901017	1107299	150261	663538	469206	1046347	347303	1091343	980803	1025888	33483	1090901	1018267	778607	709253	334527	791767	861185	939211	797831	522883	1073738	1066126	457031	
18647,586764	286568	406697	1059670	279885	510822	97834	582118	886165	307079	189845	854678	638919	581230	575553	752508	684352	1076106	245226	790406	
18817,466017	
20360,927708	811921	811915	512682	812528	237778	13313	812531	
21247,1021095	246306	980261	
21381,274232	788471	1104049	409439	625127	1053568	164363	697854	405785	636304	774055	
23692,68144	821659	811249	
23918,576384	23467	261465	
24010,208362	508443	706280	919831	393268	436868	508438	
25054,262837	81171	681389	
25269,1045226	144223	793106	
25429,1094348	386410	639025	917213	617666	1090965	535339	522836	854442	178340	1036760	843429	39163	869189	854446	209532	538454	
25433,1050688	569726	1100415	333443	554337	512253	1016491	696456	222882	240451	896234	874405	16703	567091	401362	787925	738510	
26030,526592	
26275,274631	335325	
26308,460941	
28537,146254	456360	449242	822051	491481	324563	461592	518442	535123	22888	754049	179205	205411	296434	156544	
29029,925406	540497	961744	1073721	540547	240570	1073703	315712	840528	912201	280221	541050	153491	540511	146405	240540	
30725,883913	
31243,899195	473162	768483	773586	
31440,24591	617448	775023	565974	756896	173049	969935	634432	19786	981013	823841	1077646	148270	744602	654217	1080281	518069	34677	898467	
32653,962138	919384	530713	810885	246599	1094348	1074185	273821	246555	187358	1101102	53423	98665	905629	1021095	617666	246306	99288	15522	1078026	108180	65413	149195	1031993	246597	246611	482430	511191	246235	180401	793105	1043894	11623	843311	522836	45602	854442	14863	178340	130364	1036760	246499	843429	981369	509440	246606	1024499	696229	246487	1111665	846134	637027	869189	24374	1074188	197452	134716	63329	634513	10312	882181	576761	451071	1007989	546398	538454	927768	
33735,438122	481782	658394	317238	615508	92352	333565	325907	956229	
33957,1077986	568367	688359	273821	1101102	53423	809317	109581	552470	205786	489470	584620	1100009	593305	522256	881343	1082604	
33988,74626	900345	53186	752005	1014185	642099	600536	281533	550	850081	485873	959830	197014	445	300519	
34240,330596	
34681,12862	
35886,395984	175676	519704	1027070	850643	1074321	
36199,51974	
36668,1009053	666639	878116	264239	802673	142026	464577	1023374	449360	1113471	920464	327827	917952	1061085	374064	616645	895462	797189	204351	86553	313750	866292	332857	553107	
37420,159736	1083625	
37999,175286	1105141	598469	877877	
39014,561126	
39346,1053373	928712	1080777	245268	617448	884486	307856	81957	177077	755747	565974	518070	464292	634432	911713	437448	622385	850445	570094	878452	1103912	652233	1062109	869436	409242	634435	807810	752985	497559	182012	496472	141828	916325	16225	1077646	582633	192417	710783	410312	176996	708789	218261	703540	1021896	577173	1060513	518069	784863	900299	802901	861687	34677	286408	790836	1076206	919267	
39703,226471	439919	
41358,731171	398090	598466	7091	311044	846642	
41464,558419	305957	985756	777553	489396	881567	868989	811501	
43503,1052095	196501	501630	177428	849110	191658	398800	810137	595818	551781	457050	1100256	180026	824766	551492	780051	971375	302191	296060	185808	525107	895845	179979	698101	1062169	253055	23709	249012	631334	823012	
43619,311680	206768	209796	334362	796534	175955	578031	314482	1006891	147250	451467	265838	197716	874391	334712	545395	1006535	312766	
44123,186283	570642	807656	
45321,45378	581446	1094348	532558	563453	187358	865088	1115486	981380	782669	153253	1088803	905629	672369	65413	149195	1031993	500808	160506	606631	951285	339920	482430	770369	68703	208440	259953	970203	345210	11623	812330	280550	118203	864688	163471	1104489	10312	149393	482786	927768	1069126	7385	788173	
45410,63381	349911	109861	742591	363632	648129	642764	922096	847878	906225	607662	638872	640006	348121	648121	493217	954130	336260	348123	905578	650083	284191	1057398	336353	630239	529979	666698	379039	709998	731313	342786	17263	922068	148312	1048839	844331	952876	596530	761901	571487	474823	948930	571433	847877	632881	348122	578026	271452	
47481,570463	
49550,879949	575029	1906	899195	200288	473162	768483	326664	1902	601995	1025947	
50853,616962	162700	217375	775139	418012	182639	616975	956631	773280	881012	874026	430168	634713	361603	797636	551465	1027097	8708	238922	28033	1115878	299344	1042495	756590	134528	478877	845330	
50859,212667	33514	959551	509224	
51533,617462	823807	902727	1020274	1060825	
51617,264283	264285	
52599,1052015	
53193,445171	494164	154424	54830	310653	620155	610659	381340	
54408,11216	
55107,29393	29380	
57258,269208	
57536,243889	
60339,1024492	246599	386410	1078026	246597	246611	511191	246235	864078	628696	276033	535339	843311	803853	546359	1031993	196188	79194	246613	617234	
61035,264387	27726	911030	681368	180165	70408	142784	780128	191621	681819	42244	873286	640636	485740	632359	862047	480479	157162	606513	681355	180046	157258	1039454	779934	381420	1038468	718018	741469	81576	381426	773913	
61872,935406	
61873,295433	
61960,698741	
62605,431508	
67382,745001	14065	851578	
69151,1051641	
69368,917770	
69988,264344	677283	1104049	406559	812414	780022	431516	596417	452001	523863	1052077	750569	843149	1061304	636465	823145	562821	863964	523345	1053173	759356	36579	896372	1061300	1030614	262551	36348	
70372,634514	213985	644856	53423	315599	1060686	
72028,106421	928272	1112084	802249	696031	865123	1086281	534955	283175	264091	665122	584053	519704	450130	1101981	150202	1052875	553667	798784	564561	601466	1043904	287108	1040010	797003	159498	362337	476885	879243	193430	920166	6862	1102919	852791	661605	881332	861151	503620	946738	150207	1080829	176410	200288	564309	473163	1049974	979636	249863	749943	469716	211750	280104	883198	1051991	657531	2821	192716	192717	1100746	946739	459959	91814	1036482	80104	819000	873391	448049	578248	849872	850643	198573	799298	561956	597722	638899	928271	703103	597725	575889	1027169	480229	503342	551446	264388	1080511	175616	544872	234681	458176	497230	465971	540134	223787	1092675	283053	196580	884012	934511	399121	1088415	778011	509435	798788	1062816	450134	625659	249589	278510	1008707	597724	581195	1091429	1053502	635676	394964	241508	151208	482485	1022867	850076	1043903	1091813	582349	351425	790820	840480	1069693	749963	453876	906257	791294	629200	1114164	358424	667405	612797	1090964	1016087	361704	
72077,654261	
73624,58463	
73964,961415	198216	640775	584241	165118	979460	512686	263412	791071	282316	601021	811915	778350	506093	959911	512682	919389	237778	13313	300974	109062	900542	1032353	812531	1045358	638479	314425	
75241,328673	1091385	768508	280703	453200	366364	
75821,170617	473726	1076688	1038825	1070072	307162	
76314,1078014	683865	246503	367790	546492	
76558,397244	212486	95400	825385	776414	212089	
77520,1045336	
78050,179955	302282	309096	928789	603384	875947	433406	463623	867127	
78917,864134	1050321	864136	263969	564375	262791	157930	264123	549702	160642	249609	1014340	14504	457816	757651	444798	221266	
79332,1085519	1043751	
81354,793130	261488	177614	627672	639962	843060	8685	691160	611097	382199	1026804	762991	862594	986462	581281	911013	768820	418904	26926	701810	763360	229566	925894	317140	881190	497189	214515	980874	81143	109809	390441	639434	152594	521272	463260	18582	681383	355273	780304	802660	752294	39433	884713	378165	730006	179735	660967	639433	1047058	463429	957214	103678	188894	475888	951511	673082	436716	861694	614918	732181	911141	862768	472197	772216	634111	10835	1034800	400171	678110	106562	503173	824339	1093069	959546	249500	35333	287692	832053	564150	41384	962289	770750	249980	865258	488543	1042098	1023587	780317	920957	504271	295997	
81464,929682	928060	334184	217623	861877	562098	485645	324116	188346	861879	311413	562096	817358	518180	606713	11277	250034	
81611,599874	344006	180310	156555	223200	675699	
81882,780	
83571,580200	
83876,497189	152853	8452	448903	512324	
86693,502027	
87561,458160	
88491,599875	560528	278737	1101323	512684	608556	1012976	
88579,1088833	328383	286527	
